gene	avg_logFC	p_val_adj	cluster
Malat1	1.760743859	0	SCT3+0
mt-Cytb	1.118268549	0	SCT3+0
mt-Nd4l	1.094105758	0	SCT3+0
Igfbp1	1.079301238	0	SCT3+0
Fos	1.064208342	0	SCT3+0
Pzp	0.897233712	0	SCT3+0
Trf	0.887421167	0	SCT3+0
Ier2	0.886317614	0	SCT3+0
C3	0.82336516	0	SCT3+0
Jun	0.809675444	0	SCT3+0
Fn1	0.79310724	0	SCT3+0
Clu	0.788405437	0	SCT3+0
Apoe	0.773539437	0	SCT3+0
Apob	0.772394955	0	SCT3+0
Lrg1	0.756632692	0	SCT3+0
F2	0.756078369	0	SCT3+0
mt-Nd5	0.726211047	0	SCT3+0
Zfp36	0.708736873	0	SCT3+0
Hspa5	0.705858349	0	SCT3+0
Serpinf2	0.696763427	0	SCT3+0
mt-Nd4	0.690659082	0	SCT3+0
Cp	0.686378576	0	SCT3+0
mt-Nd1	0.667184644	0	SCT3+0
Mug1	0.664707651	0	SCT3+0
Neat1	0.648420506	0	SCT3+0
Cps1	0.635352683	0	SCT3+0
P4hb	0.632535948	0	SCT3+0
mt-Nd2	0.611638974	0	SCT3+0
Junb	0.611296107	0	SCT3+0
mt-Atp8	0.600886014	0	SCT3+0
Ctsl	0.597493757	0	SCT3+0
H2-K1	0.587109807	0	SCT3+0
Herpud1	0.584985715	0	SCT3+0
Ahsg	0.583134644	0	SCT3+0
Efna1	0.574412708	0	SCT3+0
Ier3	0.5712251	0	SCT3+0
Hsp90b1	0.566709167	0	SCT3+0
Hpx	0.539992632	0	SCT3+0
H2-Q10	0.536415381	0	SCT3+0
Cd81	0.532455884	0	SCT3+0
Hp	0.511144875	0	SCT3+0
Serpina1c	0.507642916	0	SCT3+0
Serpina1a	0.507580631	0	SCT3+0
Rrbp1	0.504963408	0	SCT3+0
Pdia6	0.482152365	0	SCT3+0
Proc	0.480538353	0	SCT3+0
Cfb	0.470921096	0	SCT3+0
H2-D1	0.466445646	0	SCT3+0
Itih4	0.463719535	0	SCT3+0
Acsl5	0.462158781	0	SCT3+0
Gm26917	0.46140786	0	SCT3+0
Agt	0.451524763	0	SCT3+0
Dnajc3	0.45143447	0	SCT3+0
Ldha	0.450968735	0	SCT3+0
Itih2	0.449776198	0	SCT3+0
Actb	0.447534649	0	SCT3+0
Egr1	0.445709352	0	SCT3+0
Glud1	0.443510897	0	SCT3+0
Hpn	0.442642911	0	SCT3+0
Ddit4	0.441929055	0	SCT3+0
Hgfac	0.441561033	0	SCT3+0
Cfi	0.440338937	0	SCT3+0
