source	term_name	term_id	adjusted_p_value	negative_log10_of_adjusted_p_value	Fold_enrichment	term_size	query_size	intersection_size	effective_domain_size	intersections
GO:BP	glutathione metabolic process	GO:0006749	2.71E-12	11.56690958	9.466820238	59	802	21	21331	GCLM,GLO1,GPX1,GPX4,GSS,GSTA3,GSTA4,GSTM1,GSTM2,GSTM3,GSTM6,GSTM7,GSTP1,GSTT1,GSTT3,GSTZ1,HAGH,IDH1,MGST1,PARK7,SOD2
GO:BP	detoxification	GO:0098754	5.54E-12	11.2561792	6.121590864	126	802	29	21331	ADH5,AKR1A1,ALDH2,APOM,CCS,ESD,FABP1,GPX1,GPX4,GSTA3,GSTM2,GSTM7,GSTP1,GSTT1,HP,MGST1,MGST3,MT1,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,SELENOW,SLC22A18,SOD2,TXNDC17
GO:BP	respiratory electron transport chain	GO:0022904	7.78E-11	10.10895251	7.282582235	84	802	23	21331	COX4I1,COX5A,CYC1,CYCS,ISCU,MTCH2,NDUFA10,NDUFA7,NDUFA8,NDUFB6,NDUFB8,NDUFB9,NDUFS2,NDUFS8,NDUFV1,NDUFV2,PARK7,SDHB,SDHD,SOD2,UQCRB,UQCRC1,UQCRFS1
GO:BP	fatty acid metabolic process	GO:0006631	9.89E-11	10.0049834	3.285171868	421	802	52	21331	ABHD5,ACADL,ACADS,ACAT1,ADH5,ADIPOR1,AIG1,AKR1C18,AKR1C20,AKR1C6,ANGPTL3,APOA1,APOC1,CYB5A,CYP1A2,CYP2A12,CYP2A4,CYP2C68,CYP2C70,CYP2D22,CYP2D9,DBI,DGAT2,ECH1,ECHDC2,ECHDC3,ECHS1,ECI1,EIF6,ETFA,FABP1,FABP2,FABP5,FADS2,GPX1,GPX4,GSTM1,GSTM2,GSTM7,GSTP1,H2-KE6,HACD2,HADH,HAO1,HSD17B12,MIF,NDUFAB1,PHYH,SCP2,SLC25A17,SLC27A2,TECR
GO:BP	purine nucleotide metabolic process	GO:0006163	3.38E-07	6.471620435	2.993932055	382	802	43	21331	ACAT1,ADK,AK2,AK6,ALDOA,ALDOB,APRT,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CYC1,DGAT2,EIF6,ENO1,FBP1,GALK1,GAPDH,GLYAT,GPI1,GUK1,HINT1,HMGCL,MIF,MPC1,MPC2,MTCH2,NME2,NUDT4,PGAM1,PGK1,PMVK,RAN,RHOA,SCP2,STOML2,SUCLG1,TDO2,TPI1
GO:BP	reactive oxygen species metabolic process	GO:0072593	1.7258E-06	5.763008445	3.26632979	285	802	35	21331	ACP5,AGT,AKR1C18,ALDH2,ARF4,ASS1,ATP5G1,CCS,CD47,CLU,CXCL1,CYCS,CYP1A2,DDAH1,EEF1A1,EIF5A,EIF6,F2,GPX1,GSTP1,HP,HSP90AB1,NDUFA13,NDUFS3,PARK7,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,RAC1,RHOA,SOD2,SPR,TSPO
GO:BP	regulation of intrinsic apoptotic signaling pathway	GO:2001242	8.23053E-06	5.084572109	3.981625278	167	802	25	21331	BCAP31,CLU,ERP29,FIS1,GPX1,GRINA,HERPUD1,MIF,MTCH2,NDUFA13,NDUFS3,P4HB,PARK7,PLSCR1,PPIA,RPL11,RPL26,RPS3,RPS7,SLC9A3R1,SOD2,TPT1,UBB,VDAC2,XBP1
GO:BP	cell redox homeostasis	GO:0045454	5.5991E-05	4.251881504	5.867041954	68	802	15	21331	ERP44,GLRX3,GLRX5,GPX1,P4HB,PDIA3,PDIA6,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,TXN2,TXNL1
GO:BP	lipid oxidation	GO:0034440	0.000161074	3.792974484	4.319212652	117	802	19	21331	ACADL,ACADS,ACAT1,ADH5,ADIPOR1,DBI,DGAT2,ECH1,ECHDC2,ECHS1,ECI1,ETFA,FABP1,HADH,HAO1,PHYH,SCP2,SLC25A17,SLC27A2
GO:BP	protein localization to mitochondrion	GO:0070585	0.003156186	2.500837391	4.131612716	103	802	16	21331	BAG1,CALM1,FIS1,GRPEL1,MTCH2,NDUFA13,PAM16,PDCD5,PMPCB,SH3GLB1,TIMM13,TIMM17B,TIMM8A1,TOMM22,TSPO,UQCRC2
GO:BP	carboxylic acid metabolic process	GO:0019752	2.34E-24	23.63044197	3.142291949	948	802	112	21331	ABHD5,ACADL,ACADS,ACAT1,ADH5,ADIPOR1,AGXT,AHCY,AIG1,AKR1A1,AKR1C18,AKR1C20,AKR1C6,ALDH8A1,ALDOA,ALDOB,ANGPTL3,APOA1,APOC1,ASS1,COMT,CYB5A,CYP1A2,CYP2A12,CYP2A4,CYP2C68,CYP2C70,CYP2D22,CYP2D9,DBI,DDAH1,DGAT2,ECH1,ECHDC2,ECHDC3,ECHS1,ECI1,EIF6,ENO1,ETFA,FABP1,FABP2,FABP5,FADS2,FAH,FBP1,FH1,GALK1,GAMT,GAPDH,GCLM,GCSH,GLO1,GLUD1,GLYAT,GNMT,GPI1,GPX1,GPX4,GRHPR,GSTM1,GSTM2,GSTM7,GSTP1,GSTZ1,H2-KE6,HAAO,HACD2,HADH,HAGH,HAO1,HMGCL,HPD,HSD17B12,IDH1,IDH2,IDH3B,LDHA,MDH1,MDH2,MGST3,MIF,MPC1,MPC2,MTCH2,MTHFS,MTHFSL,NDUFAB1,NIT2,PARK7,PCBD1,PEMT,PGAM1,PGK1,PHYH,PNKD,PON1,QDPR,QPRT,RBP1,SCP2,SDHB,SEPHS2,SLC25A17,SLC27A2,SUCLG1,TDO2,TECR,TPI1,TST,UGT1A1,UPB1
GO:BP	ATP metabolic process	GO:0046034	8.93E-22	21.04923485	5.524045655	260	802	54	21331	AK2,ALDOA,ALDOB,ATP5B,ATP5C1,ATP5D,ATP5F1,ATP5G1,ATP5G2,ATP5G3,ATP5J,CHCHD10,COX4I1,COX5A,COX6B1,COX7A2,COX7B,COX8A,CYC1,CYCS,EIF6,ENO1,FBP1,GALK1,GAPDH,GPI1,GUK1,HSPA8,ISCU,LDHA,MIF,MTCH2,NDUFA10,NDUFA7,NDUFA8,NDUFB6,NDUFB8,NDUFB9,NDUFS2,NDUFS8,NDUFV1,NDUFV2,PARK7,PGAM1,PGK1,RHOA,SDHD,STOML2,TPI1,TSPO,UQCC2,UQCRB,UQCRC1,UQCRFS1
GO:BP	electron transport chain	GO:0022900	9.96E-14	13.00181225	6.258178084	136	802	32	21331	COX4I1,COX5A,COX5B,COX7A2,COX7B,COX8A,CYB5A,CYC1,CYCS,ETFA,GLRX3,GLRX5,ISCU,MTCH2,NDUFA10,NDUFA4,NDUFA7,NDUFA8,NDUFB6,NDUFB8,NDUFB9,NDUFS2,NDUFS8,NDUFV1,NDUFV2,PARK7,SDHB,SDHD,SOD2,UQCRB,UQCRC1,UQCRFS1
