"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Tmsb4x"	0	1.51817654228809	0.93	0.458	0	"5"	"Tmsb4x"
"Cd37"	0	0.610722171469224	0.821	0.185	0	"5"	"Cd37"
"Pclaf"	0	0.512217943351617	0.931	0.549	0	"5"	"Pclaf"
"Ltb"	0	0.511572657077446	0.965	0.476	0	"5"	"Ltb"
"Anxa1"	0	0.494119517023043	0.847	0.279	0	"5"	"Anxa1"
"Ezh2"	0	0.444595693563264	0.922	0.429	0	"5"	"Ezh2"
"Siglec1"	0	0.406525379129208	0.828	0.189	0	"5"	"Siglec1"
"Ifitm6"	0	0.400584049384649	0.876	0.224	0	"5"	"Ifitm6"
"Ramp1"	0	0.373965134959101	0.919	0.378	0	"5"	"Ramp1"
"Prc1"	0	0.343924359816438	0.901	0.477	0	"5"	"Prc1"
"Birc5"	0	0.337885622789266	0.974	0.672	0	"5"	"Birc5"
"Tesc"	0	0.312128151167721	0.988	0.547	0	"5"	"Tesc"
"Nkg7"	0	0.292594937999067	0.903	0.335	0	"5"	"Nkg7"
"Ccna2"	0	0.275563469705184	0.946	0.534	0	"5"	"Ccna2"
"Tpx2"	0	0.259868602370282	0.971	0.535	0	"5"	"Tpx2"
"Cenpc1"	0	0.256576665437342	0.936	0.445	0	"5"	"Cenpc1"
"Rab7b"	7.21207454935998e-295	0.331755318006802	0.182	0.3	2.23956550981275e-290	"5"	"Rab7b"
"1810011H11Rik"	8.8117130866746e-283	0.308566134325661	0.796	0.161	2.73630126480506e-278	"5"	"1810011H11Rik"
"Prmt1"	9.55593484455238e-276	0.506795189960202	0.978	0.646	2.96740444727885e-271	"5"	"Prmt1"
"Lsm3"	1.94067672348543e-274	0.492494751395305	0.926	0.553	6.02638342943932e-270	"5"	"Lsm3"
"Cenpe"	1.42573607682623e-272	0.283257108719784	0.869	0.399	4.42733823936849e-268	"5"	"Cenpe"
"Tfdp1"	2.72972449190618e-271	0.298612376979793	0.943	0.516	8.47661346471625e-267	"5"	"Tfdp1"
"Ift22"	2.73803453897577e-271	0.261663281387055	0.884	0.52	8.50241865388144e-267	"5"	"Ift22"
"Ifi47"	3.74751812020361e-269	0.337475344662419	0.936	0.507	1.16371680186683e-264	"5"	"Ifi47"
"Lyve1"	5.41369165954222e-255	0.325440337217222	0.822	0.301	1.68111367103765e-250	"5"	"Lyve1"
"Faf1"	5.02145775198172e-252	0.292679061256585	0.965	0.545	1.55931327572288e-247	"5"	"Faf1"
"Tes"	3.80325985739748e-251	0.435122419438764	0.95	0.626	1.18102628351764e-246	"5"	"Tes"
"Lig1"	3.63935955175892e-247	0.267502202790302	0.849	0.442	1.1301303216077e-242	"5"	"Lig1"
"Clec4d"	1.22764089286497e-244	0.493878442131301	0.764	0.177	3.81219326461358e-240	"5"	"Clec4d"
"Cnn2"	3.76920550790239e-244	0.504404895536126	0.812	0.401	1.17045138636893e-239	"5"	"Cnn2"
"Il6ra"	2.81056281474173e-234	0.352858213662621	0.199	0.418	8.72764070861749e-230	"5"	"Il6ra"
"Dapp1"	7.07605127655224e-234	0.400101089967789	0.207	0.386	2.19732620290777e-229	"5"	"Dapp1"
"Camta2"	2.20522986075676e-232	0.265925153823397	0.179	0.349	6.84790028660798e-228	"5"	"Camta2"
"Cd74"	3.08150371227974e-232	1.91049739336865	0.815	0.478	9.56899347774229e-228	"5"	"Cd74"
"Wdfy4"	7.01785444625792e-232	0.493503267590766	0.211	0.304	2.17925434119647e-227	"5"	"Wdfy4"
"Tbc1d8"	1.34697506247239e-226	0.250244913084928	0.181	0.304	4.18276166149551e-222	"5"	"Tbc1d8"
"Cdca8"	2.16367438171201e-219	0.277414802799122	0.85	0.447	6.71885805753031e-215	"5"	"Cdca8"
"Csrp1"	9.4438603007491e-219	0.423996115345918	0.86	0.479	2.93260193919162e-214	"5"	"Csrp1"
"Malat1"	1.05043235074409e-211	0.903860112351939	0.995	0.84	3.26190757876562e-207	"5"	"Malat1"
"Tlr12"	1.2899601308023e-210	0.282483443429148	0.221	0.275	4.00571319418038e-206	"5"	"Tlr12"
"Mcm4"	1.62934030848238e-208	0.290372011653109	0.856	0.461	5.05959045993035e-204	"5"	"Mcm4"
"Ltc4s"	5.35580703371589e-208	0.521824468107329	0.743	0.186	1.6631387581798e-203	"5"	"Ltc4s"
"Rassf2"	3.30799683660268e-207	0.322344500817675	0.243	0.277	1.02723225767023e-202	"5"	"Rassf2"
"Mcm6"	5.14397665605862e-207	0.327289117903575	0.85	0.443	1.59735907100588e-202	"5"	"Mcm6"
"Lmnb1"	3.90958267896794e-206	0.475760359398928	0.809	0.36	1.21404270929991e-201	"5"	"Lmnb1"
"Klra2"	4.96870445512962e-206	0.438351239268241	0.256	0.179	1.5429317944514e-201	"5"	"Klra2"
"Ccl2"	1.45138773644201e-205	0.322123438007074	0.814	0.397	4.50699433797338e-201	"5"	"Ccl2"
"Syce2"	4.21564300497074e-205	0.345442141633765	0.831	0.499	1.30908362233356e-200	"5"	"Syce2"
