gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Cd74	0	2.568526039	0.504	0.085	0	MP
H2-Aa	0	2.353481827	0.413	0.029	0	MP
H2-Ab1	0	2.349724953	0.405	0.031	0	MP
Ctss	0	2.238789412	0.486	0.036	0	MP
H2-Eb1	0	2.194147961	0.359	0.024	0	MP
Cd5l	0	2.135182104	0.363	0.034	0	MP
Lyz2	0	2.134253481	0.425	0.032	0	MP
Fcer1g	0	2.130295614	0.457	0.044	0	MP
Tmsb4x	0	2.122956928	0.813	0.233	0	MP
Psap	0	2.079287656	0.698	0.581	0	MP
Laptm5	0	1.969288496	0.496	0.039	0	MP
Rgs1	0	1.967775521	0.382	0.025	0	MP
C1qa	0	1.939283445	0.412	0.031	0	MP
C1qc	0	1.912959335	0.394	0.029	0	MP
Sdc3	0	1.856267774	0.472	0.075	0	MP
Clec4f	0	1.824982846	0.274	0.028	0	MP
C1qb	0	1.798731374	0.368	0.029	0	MP
Tyrobp	0	1.772353306	0.385	0.032	0	MP
Wfdc17	0	1.759386568	0.362	0.038	0	MP
Mafb	0	1.730205688	0.39	0.087	0	MP
Cyba	0	1.5093267	0.385	0.071	0	MP
Lilr4b	0	1.471610472	0.261	0.018	0	MP
Sirpa	0	1.45331095	0.424	0.139	0	MP
Cybb	0	1.435278854	0.309	0.035	0	MP
Fyb	0	1.421804662	0.287	0.023	0	MP
Lcp1	0	1.414825969	0.316	0.072	0	MP
Ptprc	0	1.410742739	0.307	0.025	0	MP
Zeb2	0	1.382997097	0.376	0.06	0	MP
Csf1r	0	1.335072168	0.268	0.018	0	MP
Aif1	0	1.334016237	0.266	0.018	0	MP
Cd52	0	1.2380159	0.254	0.028	0	MP
Gm42418	0	1.213888304	1	1	0	MP
Malat1	0	1.206437974	0.98	0.685	0	MP
Marcks	0	1.086615371	0.429	0.124	0	MP
Maf	0	0.941751595	0.459	0.164	0	MP
Actb	0	0.848187122	0.838	0.877	0	MP
Rpl38	0	0.840605463	0.918	0.92	0	MP
mt-Co1	0	0.645995534	0.998	0.988	0	MP
Rps29	1.14E-283	0.948018486	0.776	0.779	3.53E-279	MP
Crip1	5.42E-283	1.362195887	0.31	0.095	1.68E-278	MP
Rpl37a	2.02E-266	0.783093156	0.821	0.864	6.26E-262	MP
Gm10076	2.02E-265	0.516632861	0.933	0.97	6.26E-261	MP
Dmpk	3.10E-253	1.306986271	0.274	0.081	9.63E-249	MP
Rps28	1.30E-250	0.856845379	0.777	0.799	4.05E-246	MP
Mrc1	4.32E-247	0.844738642	0.331	0.105	1.34E-242	MP
Unc93b1	4.58E-246	1.356438571	0.345	0.134	1.42E-241	MP
Mpeg1	3.91E-234	1.557617228	0.373	0.166	1.22E-229	MP
Iqgap1	6.87E-233	1.185309438	0.313	0.111	2.13E-228	MP
Ctsc	3.38E-226	1.496331796	0.332	0.133	1.05E-221	MP
Rplp2	1.11E-223	0.662990149	0.798	0.895	3.44E-219	MP
Lgmn	1.62E-208	1.630474684	0.547	0.416	5.03E-204	MP
Ctsb	5.52E-198	1.485020472	0.64	0.664	1.72E-193	MP
Rpl35a	1.92E-190	0.79820423	0.739	0.79	5.97E-186	MP
mt-Atp6	2.48E-183	0.574215014	0.838	0.859	7.71E-179	MP
Rps27a	1.03E-172	0.472257351	0.868	0.958	3.20E-168	MP
mt-Co3	1.72E-172	0.438084916	0.946	0.963	5.35E-168	MP
Slc40a1	1.94E-168	1.635557852	0.324	0.151	6.03E-164	MP
Lyn	1.09E-163	1.094117133	0.264	0.103	3.37E-159	MP
mt-Nd1	5.63E-151	0.416603695	0.868	0.862	1.75E-146	MP
Sem1	2.25E-149	0.678019838	0.728	0.824	6.98E-145	MP
Rps21	1.31E-145	0.664500471	0.751	0.849	4.06E-141	MP
BC005537	6.82E-140	1.225356258	0.342	0.183	2.12E-135	MP
Vcam1	1.67E-116	1.370006393	0.283	0.142	5.19E-112	MP
Tmsb10	1.49E-103	0.930978859	0.594	0.544	4.62E-99	MP
Rpl41	6.43E-103	0.497426422	0.757	0.887	2.00E-98	MP
Rplp1	5.51E-93	0.537636573	0.699	0.838	1.71E-88	MP
Rps8	7.60E-93	0.32172803	0.88	0.962	2.36E-88	MP
Tnfaip2	4.35E-91	1.130354583	0.256	0.136	1.35E-86	MP
Sash1	5.05E-90	0.82449264	0.284	0.153	1.57E-85	MP
Tln1	7.53E-90	0.957600067	0.331	0.204	2.34E-85	MP
Acp5	1.99E-85	0.268085869	0.149	0.415	6.19E-81	MP
Mycbp2	1.19E-82	0.943214839	0.288	0.168	3.68E-78	MP
Tcirg1	2.63E-79	1.014088434	0.252	0.141	8.18E-75	MP
mt-Co2	5.64E-74	0.281851646	0.944	0.965	1.75E-69	MP
Rpl23	7.65E-74	0.323999596	0.788	0.925	2.38E-69	MP
Grn	3.62E-73	1.357929516	0.434	0.399	1.12E-68	MP
Syngr2	1.08E-72	0.250685813	0.089	0.282	3.35E-68	MP
Atp2b1	3.03E-71	1.126074242	0.314	0.215	9.40E-67	MP
Ctsh	1.73E-70	0.342852653	0.183	0.448	5.37E-66	MP
Anp32b	1.79E-69	0.262857131	0.177	0.43	5.56E-65	MP
Fau	5.83E-69	0.477117487	0.811	0.932	1.81E-64	MP
Ggnbp2	1.18E-68	0.275207443	0.128	0.342	3.65E-64	MP
Nap1l1	1.62E-67	0.296265816	0.166	0.407	5.04E-63	MP
Sft2d1	8.16E-66	0.32482422	0.177	0.427	2.53E-61	MP
Pcbp2	1.15E-63	0.298011789	0.17	0.408	3.58E-59	MP
Sh3bgrl3	4.58E-63	0.943732006	0.259	0.16	1.42E-58	MP
Rab14	5.49E-63	0.289043394	0.213	0.486	1.70E-58	MP
Ier3ip1	4.10E-61	0.275039577	0.169	0.399	1.27E-56	MP
Lypla2	1.13E-60	0.315885648	0.131	0.333	3.52E-56	MP
Lipa	1.63E-60	0.37917198	0.162	0.391	5.05E-56	MP
Rab5c	1.99E-60	0.252515308	0.108	0.292	6.17E-56	MP
Gcc2	4.28E-60	0.254287597	0.139	0.344	1.33E-55	MP
Lrp1	2.49E-59	1.179772836	0.352	0.283	7.73E-55	MP
Ucp2	3.95E-59	1.033261626	0.292	0.204	1.23E-54	MP
Rbm7	9.10E-59	0.270320674	0.099	0.273	2.83E-54	MP
Eif3c	1.66E-58	0.271833152	0.212	0.471	5.16E-54	MP
Psme1	1.11E-57	0.257014286	0.26	0.559	3.45E-53	MP
Dpm3	1.15E-57	0.263788709	0.257	0.55	3.58E-53	MP
Hnrnpdl	3.08E-57	0.330059241	0.143	0.347	9.57E-53	MP
G3bp2	1.05E-56	0.305297801	0.134	0.329	3.27E-52	MP
Asah1	1.31E-56	0.335744607	0.128	0.322	4.06E-52	MP
Naa50	6.60E-54	0.256224458	0.097	0.262	2.05E-49	MP
Erp29	9.81E-54	0.362780647	0.198	0.441	3.05E-49	MP
Tm9sf3	2.76E-53	0.284521715	0.196	0.43	8.58E-49	MP
Macf1	4.08E-53	0.680592795	0.296	0.195	1.27E-48	MP
Abracl	3.57E-52	0.358512474	0.144	0.34	1.11E-47	MP
Mbnl1	5.76E-51	0.957024309	0.316	0.238	1.79E-46	MP
Dusp11	1.82E-50	0.303925661	0.139	0.324	5.66E-46	MP
Chmp4b	2.59E-50	0.29068559	0.155	0.354	8.04E-46	MP
Rab10	2.77E-50	0.27211205	0.118	0.29	8.59E-46	MP
M6pr	9.80E-50	0.371766107	0.154	0.354	3.04E-45	MP
Hp1bp3	2.78E-49	0.253320404	0.118	0.287	8.62E-45	MP
Lpin2	6.62E-49	0.283865382	0.124	0.298	2.06E-44	MP
Zranb2	9.23E-49	0.283261076	0.16	0.356	2.87E-44	MP
Taf6l	1.47E-48	0.307304822	0.103	0.261	4.56E-44	MP
Ik	3.92E-48	0.323238063	0.119	0.288	1.22E-43	MP
Rbm8a	3.95E-48	0.283292817	0.132	0.307	1.23E-43	MP
Arpc4	1.02E-47	0.377355817	0.171	0.377	3.16E-43	MP
Rpl23a	1.55E-47	0.303588294	0.267	0.545	4.81E-43	MP
Kif5b	2.73E-46	0.26223976	0.131	0.302	8.49E-42	MP
Set	4.63E-46	0.271279347	0.152	0.335	1.44E-41	MP
Abcf1	5.51E-46	0.301132218	0.109	0.267	1.71E-41	MP
Nol7	1.53E-45	0.266608657	0.289	0.58	4.75E-41	MP
Ccnl2	7.77E-45	0.252462661	0.109	0.261	2.41E-40	MP
Rps24	8.96E-45	0.26494371	0.803	0.935	2.78E-40	MP
Nr1h3	1.56E-44	0.511990348	0.145	0.328	4.85E-40	MP
Cox7c	7.07E-44	0.354587391	0.735	0.896	2.19E-39	MP
Eif4h	1.96E-43	0.294272007	0.118	0.276	6.09E-39	MP
Gsr	2.70E-43	0.375125866	0.152	0.334	8.37E-39	MP
Capzb	7.63E-43	0.386915093	0.253	0.518	2.37E-38	MP
Gm2a	1.78E-42	0.5104346	0.185	0.396	5.54E-38	MP
Psmb9	2.55E-42	0.331889718	0.117	0.272	7.93E-38	MP
Polr2l	2.59E-42	0.301085863	0.318	0.621	8.04E-38	MP
Nars	4.99E-42	0.344116419	0.223	0.454	1.55E-37	MP
Vcp	1.17E-41	0.25784782	0.256	0.504	3.62E-37	MP
Son	8.26E-41	0.801690033	0.458	0.461	2.57E-36	MP
Rpl35	2.27E-40	0.340479397	0.696	0.88	7.05E-36	MP
Srrm1	1.28E-39	0.410944714	0.185	0.384	3.98E-35	MP
Caprin1	1.56E-38	0.31403714	0.143	0.305	4.84E-34	MP
Sf1	1.56E-38	0.322964365	0.122	0.271	4.84E-34	MP
Hectd1	2.10E-38	0.283797734	0.115	0.258	6.52E-34	MP
Dnajc8	1.35E-36	0.317813624	0.149	0.31	4.20E-32	MP
Epn1	2.62E-36	0.438421954	0.158	0.33	8.13E-32	MP
Txn1	3.51E-36	0.347250936	0.302	0.588	1.09E-31	MP
Snx6	3.23E-35	0.362148397	0.15	0.311	1.00E-30	MP
Pdcd6ip	5.46E-35	0.265701444	0.13	0.275	1.70E-30	MP
Xrn2	1.24E-34	0.386645667	0.137	0.288	3.84E-30	MP
Jak1	3.29E-34	0.309810298	0.186	0.364	1.02E-29	MP
Srsf2	3.70E-34	0.426257819	0.189	0.376	1.15E-29	MP
Cd47	5.57E-34	0.360345826	0.275	0.53	1.73E-29	MP
Lasp1	8.27E-34	0.25756935	0.13	0.27	2.57E-29	MP
Hnrnpu	3.23E-33	0.38713365	0.224	0.433	1.00E-28	MP
Mapre1	4.54E-33	0.279377912	0.128	0.267	1.41E-28	MP
Spop	8.45E-33	0.32868719	0.131	0.272	2.62E-28	MP
Scand1	1.17E-32	0.439562231	0.258	0.501	3.63E-28	MP
Csnk2a1	2.17E-32	0.308428875	0.131	0.27	6.75E-28	MP
Ctsa	3.59E-32	0.551834998	0.186	0.373	1.12E-27	MP
Nptn	3.71E-32	0.398627982	0.142	0.291	1.15E-27	MP
Srsf11	4.29E-32	0.385331343	0.172	0.34	1.33E-27	MP
Ndufa3	4.54E-32	0.254758505	0.377	0.703	1.41E-27	MP
Npm1	8.20E-32	0.349476849	0.288	0.547	2.55E-27	MP
Dazap2	8.39E-32	0.450629996	0.198	0.386	2.61E-27	MP
Nfe2l2	9.24E-32	0.395137699	0.146	0.296	2.87E-27	MP
Mtdh	9.86E-32	0.375529917	0.239	0.456	3.06E-27	MP
Btg1	1.52E-31	1.003211337	0.309	0.266	4.73E-27	MP
Ywhah	2.66E-31	0.441639421	0.227	0.436	8.27E-27	MP
Rack1	7.67E-31	0.318237561	0.316	0.597	2.38E-26	MP
Rpl22	2.19E-30	0.484126845	0.612	0.819	6.79E-26	MP
Llph	3.01E-30	0.426726541	0.266	0.505	9.34E-26	MP
Hexa	3.81E-30	0.493282743	0.171	0.339	1.18E-25	MP
Tcea1	1.52E-29	0.363730646	0.28	0.524	4.73E-25	MP
Man2b1	1.68E-29	0.96222282	0.261	0.211	5.22E-25	MP
Ddx39b	3.31E-29	0.457829241	0.18	0.346	1.03E-24	MP
Snx2	5.05E-29	0.353480721	0.128	0.258	1.57E-24	MP
Sat1	8.31E-29	1.142168867	0.442	0.519	2.58E-24	MP
Srsf10	1.85E-28	0.339694027	0.144	0.282	5.75E-24	MP
AW112010	2.65E-28	0.504831162	0.211	0.4	8.24E-24	MP
Ddx24	9.33E-28	0.42255661	0.188	0.356	2.90E-23	MP
Sh3glb1	1.18E-27	0.425781787	0.261	0.489	3.67E-23	MP
Ostf1	4.01E-27	0.397341936	0.163	0.311	1.25E-22	MP
Fcgrt	1.46E-26	0.418912456	0.174	0.327	4.55E-22	MP
Lamp1	2.98E-26	0.556514275	0.547	0.721	9.26E-22	MP
Tomm7	3.02E-26	0.326575713	0.339	0.618	9.38E-22	MP
Serpinb6a	6.01E-26	0.370638248	0.159	0.3	1.87E-21	MP
Ccdc50	7.70E-25	0.457248667	0.148	0.283	2.39E-20	MP
H2-D1	1.50E-24	0.57543907	0.532	0.678	4.65E-20	MP
Gnai2	1.80E-24	0.741054111	0.303	0.264	5.59E-20	MP
Dek	1.82E-24	0.410131092	0.175	0.324	5.64E-20	MP
Pkn2	1.89E-24	0.382002667	0.2	0.362	5.87E-20	MP
Metap2	2.07E-24	0.371538445	0.287	0.517	6.41E-20	MP
