	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Malat1	0	1.376852527	0.952	0.851	0	0	Malat1	#N/A	#N/A
Fos	0	0.833948814	0.735	0.542	0	0	Fos	FOS	#N/A
mt-Cytb	0	0.821795814	0.998	0.981	0	0	mt-Cytb	#N/A	#N/A
mt-Nd4l	0	0.815077365	0.997	0.963	0	0	mt-Nd4l	#N/A	MT-ND4L
Trf	0	0.754472424	1	0.992	0	0	Trf	#N/A	#N/A
Jun	0	0.733361391	0.727	0.489	0	0	Jun	JUN	#N/A
mt-Nd1	0	0.696006201	0.992	0.951	0	0	mt-Nd1	#N/A	MT-ND1
mt-Nd4	0	0.675311953	0.982	0.923	0	0	mt-Nd4	#N/A	MT-ND4
Ier2	0	0.671277697	0.797	0.703	0	0	Ier2	IER2	#N/A
Pzp	0	0.66707719	0.995	0.967	0	0	Pzp	#N/A	#N/A
Mug1	0	0.634697115	0.936	0.876	0	0	Mug1	#N/A	#N/A
mt-Nd2	0	0.620029608	0.99	0.946	0	0	mt-Nd2	#N/A	MT-ND2
mt-Nd5	0	0.6111473	0.97	0.885	0	0	mt-Nd5	#N/A	MT-ND5
Zfp36	0	0.606217864	0.762	0.623	0	0	Zfp36	#N/A	#N/A
Fn1	0	0.59109207	0.908	0.646	0	0	Fn1	#N/A	#N/A
C3	0	0.587186703	0.985	0.942	0	0	C3	#N/A	#N/A
Cps1	0	0.580508599	0.839	0.61	0	0	Cps1	#N/A	CPS1
Pck1	0	0.569066144	0.879	0.889	0	0	Pck1	#N/A	#N/A
Apoe	0	0.546067941	1	1	0	0	Apoe	#N/A	#N/A
Cp	0	0.540061717	0.961	0.894	0	0	Cp	#N/A	#N/A
Junb	0	0.536767812	0.827	0.782	0	0	Junb	JUNB	#N/A
F2	0	0.528616889	0.997	0.99	0	0	F2	#N/A	F2
mt-Co1	0	0.514965906	1	0.995	0	0	mt-Co1	#N/A	#N/A
Serpina1c	0	0.497506105	0.974	0.938	0	0	Serpina1c	#N/A	#N/A
Hes1	0	0.495501709	0.515	0.182	0	0	Hes1	HES1	#N/A
Jund	0	0.485193249	0.666	0.408	0	0	Jund	JUND	#N/A
Hsd17b13	0	0.481711728	0.918	0.816	0	0	Hsd17b13	#N/A	#N/A
