	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	TFs	Tclin
Malat1	1.36E-266	0.905980623	0.999	0.994	1.94E-262	0	Malat1	#N/A	#N/A
mt-Cytb	3.16E-186	0.450192455	0.999	0.998	4.52E-182	0	mt-Cytb	#N/A	#N/A
mt-Nd1	1.06E-183	0.424494269	1	0.998	1.52E-179	0	mt-Nd1	#N/A	MT-ND1
mt-Nd2	3.46E-176	0.402660733	1	0.999	4.95E-172	0	mt-Nd2	#N/A	MT-ND2
mt-Co1	1.31E-175	0.398313903	1	1	1.87E-171	0	mt-Co1	#N/A	#N/A
mt-Nd4	1.47E-170	0.414993715	1	0.998	2.10E-166	0	mt-Nd4	#N/A	MT-ND4
Trf	2.30E-165	0.367136676	1	1	3.29E-161	0	Trf	#N/A	#N/A
mt-Co2	2.81E-159	0.370285083	1	0.999	4.02E-155	0	mt-Co2	#N/A	#N/A
Mug1	1.85E-158	0.510714571	0.985	0.96	2.65E-154	0	Mug1	#N/A	#N/A
mt-Nd4l	8.37E-145	0.382867275	1	0.999	1.20E-140	0	mt-Nd4l	#N/A	MT-ND4L
mt-Co3	7.27E-138	0.335388143	1	1	1.04E-133	0	mt-Co3	#N/A	#N/A
Fn1	9.63E-137	0.403364226	0.971	0.963	1.38E-132	0	Fn1	#N/A	#N/A
mt-Nd5	3.70E-136	0.35963042	0.995	0.991	5.28E-132	0	mt-Nd5	#N/A	MT-ND5
mt-Atp6	8.55E-123	0.319799623	1	0.998	1.22E-118	0	mt-Atp6	#N/A	#N/A
Cp	7.04E-121	0.347956348	0.997	0.994	1.01E-116	0	Cp	#N/A	#N/A
Pck1	3.12E-118	0.493644705	0.957	0.921	4.46E-114	0	Pck1	#N/A	#N/A
Meg3	7.13E-96	0.362961058	0.477	0.18	1.02E-91	0	Meg3	#N/A	#N/A
Jun	1.81E-95	0.55776601	0.869	0.846	2.59E-91	0	Jun	JUN	#N/A
Cyr61	3.12E-95	0.481859017	0.427	0.152	4.46E-91	0	Cyr61	#N/A	#N/A
Igfbp1	2.14E-94	0.289468233	0.993	0.993	3.05E-90	0	Igfbp1	#N/A	#N/A
Cdh1	3.75E-94	0.295660931	0.534	0.226	5.35E-90	0	Cdh1	#N/A	#N/A
Alb	4.70E-94	0.247092823	1	1	6.72E-90	0	Alb	#N/A	#N/A
8430408G22Rik	1.17E-93	0.393600916	0.857	0.82	1.67E-89	0	8430408G22Rik	#N/A	#N/A
Hes1	1.24E-93	0.496259814	0.715	0.575	1.77E-89	0	Hes1	HES1	#N/A
Rgs16	1.76E-92	0.343277181	0.448	0.167	2.51E-88	0	Rgs16	#N/A	#N/A
Sds	1.26E-91	0.393280647	0.436	0.154	1.80E-87	0	Sds	#N/A	#N/A
Btg2	2.85E-91	0.447225174	0.714	0.504	4.08E-87	0	Btg2	BTG2	#N/A
Fos	6.64E-87	0.511495425	0.74	0.608	9.49E-83	0	Fos	FOS	#N/A
mt-Atp8	5.66E-84	0.280955556	0.981	0.982	8.09E-80	0	mt-Atp8	#N/A	#N/A
Jund	3.38E-83	0.369591352	0.92	0.932	4.83E-79	0	Jund	JUND	#N/A
Serpinf2	1.74E-81	0.243097258	0.993	0.992	2.49E-77	0	Serpinf2	#N/A	#N/A
Egr1	1.61E-80	0.452602133	0.826	0.812	2.30E-76	0	Egr1	EGR1	#N/A
Junb	5.51E-79	0.416264923	0.831	0.798	7.87E-75	0	Junb	JUNB	#N/A
Nr1d1	2.23E-77	0.269938306	0.423	0.169	3.18E-73	0	Nr1d1	NR1D1	#N/A
Wsb1	4.43E-77	0.268816894	0.41	0.159	6.33E-73	0	Wsb1	#N/A	#N/A
Cps1	1.97E-75	0.338454241	0.925	0.925	2.82E-71	0	Cps1	#N/A	CPS1
Pzp	6.79E-75	0.348693452	0.996	0.986	9.70E-71	0	Pzp	#N/A	#N/A
Mug2	2.66E-74	0.341315263	0.803	0.735	3.80E-70	0	Mug2	#N/A	#N/A
Clu	8.49E-73	0.566866786	0.992	0.974	1.21E-68	0	Clu	#N/A	#N/A
Zfp36	5.73E-72	0.398442285	0.677	0.492	8.19E-68	0	Zfp36	#N/A	#N/A
Ldlr	1.49E-71	0.24560323	0.437	0.188	2.12E-67	0	Ldlr	#N/A	#N/A
Cxadr	3.33E-71	0.259829691	0.5	0.234	4.76E-67	0	Cxadr	#N/A	#N/A
Klf6	1.68E-70	0.305327843	0.378	0.147	2.40E-66	0	Klf6	KLF6	#N/A
Sorbs2	7.43E-70	0.34446919	0.533	0.303	1.06E-65	0	Sorbs2	#N/A	#N/A
