gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
Spp1	3.55E-47	1.404974038	0.214	0.344	5.07E-43	0
Malat1	0	1.336389608	0.934	0.823	0	0
Fos	0	0.948089466	0.734	0.53	0	0
mt-Nd4l	0	0.947071814	0.996	0.955	0	0
mt-Cytb	0	0.94196144	0.998	0.977	0	0
Atf3	3.64E-130	0.903369727	0.45	0.313	5.20E-126	0
Clu	0	0.84991626	1	0.999	0	0
Ier2	0	0.799838091	0.855	0.743	0	0
Trf	0	0.771918235	1	0.991	0	0
Pzp	0	0.753154877	0.994	0.963	0	0
Jun	0	0.728102564	0.67	0.42	0	0
Zfp36	0	0.703087059	0.797	0.649	0	0
Apoe	0	0.678831197	1	1	0	0
mt-Nd1	0	0.660748718	0.988	0.941	0	0
F2	0	0.659152849	1	0.99	0	0
C3	0	0.656908054	0.981	0.931	0	0
mt-Nd4	0	0.646491716	0.976	0.909	0	0
mt-Nd5	0	0.635908993	0.961	0.864	0	0
Gdf15	2.62E-251	0.634815125	0.598	0.42	3.74E-247	0
mt-Nd2	0	0.611841693	0.986	0.936	0	0
Cd81	0	0.606565844	0.997	0.991	0	0
Mug1	0	0.597027967	0.916	0.86	0	0
Cps1	0	0.595565279	0.804	0.549	0	0
Gadd45g	9.66E-171	0.595432408	0.55	0.396	1.38E-166	0
Cxcl1	1.19E-111	0.593826503	0.625	0.566	1.69E-107	0
Junb	0	0.587260243	0.826	0.779	0	0
Hsd17b13	0	0.581305185	0.958	0.833	0	0
Hp	0	0.578807126	1	0.997	0	0
Herpud1	0	0.578571151	0.913	0.853	0	0
Fn1	0	0.5725665	0.882	0.584	0	0
mt-Atp8	0	0.56715748	0.988	0.939	0	0
H2-Q10	0	0.556955444	1	0.998	0	0
Serpinf2	0	0.555227993	0.999	0.986	0	0
Hpx	0	0.552200583	1	1	0	0
Serpina1c	0	0.54451635	0.964	0.928	0	0
Lrg1	0	0.544379769	0.995	0.981	0	0
Serpind1	0	0.522832097	0.993	0.964	0	0
Apob	0	0.522097841	0.954	0.859	0	0
Pck1	1.40E-234	0.509523229	0.847	0.882	2.00E-230	0
Igfbp1	0	0.508665091	0.997	0.996	0	0
Serpina1a	0	0.496897689	0.997	0.987	0	0
Cp	0	0.492585885	0.947	0.874	0	0
Angptl8	2.49E-30	0.48529535	0.74	0.833	3.56E-26	0
Kng1	0	0.482351816	1	1	0	0
Acsl5	0	0.482294171	0.971	0.928	0	0
Fga	0	0.481804411	1	0.998	0	0
Efna1	0	0.481226771	0.79	0.613	0	0
Cfb	0	0.479986698	0.975	0.943	0	0
Cfi	0	0.476706005	1	0.998	0	0
Hal	0	0.461003896	0.758	0.541	0	0
Hrg	0	0.458408943	0.992	0.987	0	0
