Source	Annotation	ALL_3	ALL_0	ALL_2	ALL_1	POS_3	POS_0	POS_2	POS_1	NEG_3	NEG_0	NEG_2	NEG_1
GO:BP	Steroid metabolic process	3.32E-04	1.08E-14	2.11E-05	1.00E+00	3.47E-03	8.89E-17	1.29E-04	1.00E+00	5.86E-03	1.98E-01	1.45E-02	1.00E+00
GO:BP	Triglyceride metabolic process	3.89E-03	1.32E-13	9.31E-03	1.00E+00	5.55E-03	6.66E-13	1.89E-02	1.00E+00	1.00E+00	1.26E-03	1.18E-03	1.00E+00
GO:BP	Cholesterol metabolic process	8.92E-04	8.71E-10	2.79E-01	1.00E+00	4.25E-02	1.58E-11	6.66E-02	1.00E+00	1.87E-03	1.00E+00	2.77E-03	1.00E+00
GO:BP	Steroid biosynthetic process	1.00E+00	4.31E-10	1.97E-01	1.00E+00	1.00E+00	2.78E-10	9.04E-02	1.00E+00	1.00E+00	2.89E-01	1.00E+00	1.00E+00
GO:BP	Sterol metabolic process	3.40E-03	4.02E-09	4.88E-01	1.00E+00	1.35E-01	1.00E-10	1.39E-01	1.00E+00	5.62E-03	1.00E+00	4.60E-03	1.00E+00
GO:BP	Glycerolipid metabolic process	1.00E+00	2.62E-08	1.00E+00	1.00E+00	9.92E-01	6.66E-07	1.00E+00	1.00E+00	1.00E+00	1.44E-02	3.54E-02	1.00E+00
GO:BP	Fatty acid metabolic process	4.91E-02	1.71E-03	3.90E-03	1.00E+00	3.38E-04	1.14E-06	6.72E-06	1.00E+00	2.38E-01	1.00E+00	5.21E-03	1.00E+00
REAC	Complement cascade	1.00E+00	3.13E-06	1.00E+00	1.00E+00	1.00E+00	1.23E-05	1.00E+00	1.00E+00	1.00E+00	3.54E-01	1.00E+00	1.00E+00
GO:BP	Fatty acid biosynthetic process	1.00E+00	9.46E-03	1.00E+00	1.00E+00	1.00E+00	1.77E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00
GO:BP	Response to insulin	1.00E+00	3.02E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00	3.33E-01	1.00E+00	1.00E+00	9.56E-01	1.00E+00	1.00E+00
KEGG	Bile secretion	1.00E+00	1.65E-01	1.00E+00	1.00E+00	1.00E+00	1.43E-01	1.00E+00	1.00E+00	4.61E-01	2.96E-02	1.00E+00	1.00E+00
KEGG	"Alanine, aspartate and glutamate metabolism"	1.00E+00	4.05E-01	1.00E+00	1.00E+00	1.00E+00	2.13E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00
GO:BP	Response to xenobiotic stimulus	2.65E-02	2.89E-01	3.62E-10	1.00E+00	1.65E-01	2.64E-03	1.20E-08	1.00E+00	4.68E-01	1.00E+00	1.03E-03	1.00E+00
GO:BP	Cellular amino acid metabolic process	1.46E-02	2.50E-01	2.53E-06	1.00E+00	2.15E-01	6.06E-07	2.25E-12	1.00E+00	1.17E-02	1.00E+00	1.00E+00	1.00E+00
GO:BP	Cellular oxidant detoxification	1.00E+00	1.00E+00	2.04E-10	1.00E+00	1.00E+00	1.00E+00	1.59E-14	1.00E+00	1.00E+00	1.00E+00	6.52E-09	1.00E+00
KEGG	Glutathione metabolism	1.00E+00	1.00E+00	1.71E-11	1.00E+00	1.00E+00	1.00E+00	7.39E-14	1.00E+00	1.00E+00	1.00E+00	6.33E-05	1.00E+00
GO:BP	Detoxification	2.30E-01	1.00E+00	2.01E-14	1.00E+00	1.00E+00	1.00E+00	9.18E-18	1.00E+00	2.21E-02	1.00E+00	4.94E-08	1.00E+00
GO:BP	Drug metabolic process	1.61E-06	2.46E-05	7.66E-16	1.00E+00	5.37E-05	6.85E-14	1.38E-25	1.00E+00	4.44E-04	3.11E-02	4.62E-03	1.00E+00
GO:BP	Purine nucleoside triphosphate metabolic process	1.00E+00	1.00E+00	1.00E+00	2.24E-02	1.00E+00	1.00E+00	1.00E+00	3.93E-04	1.00E+00	1.00E+00	1.00E+00	1.00E+00
GO:BP	Purine nucleoside triphosphate biosynthetic process	1.00E+00	1.00E+00	1.00E+00	4.37E-03	1.00E+00	1.00E+00	1.00E+00	5.52E-05	1.00E+00	1.00E+00	1.00E+00	1.00E+00
GO:BP	Oxidative phosphorylation	1.00E+00	1.36E-02	1.00E+00	2.41E-12	1.00E+00	1.57E-03	2.70E-02	8.85E-14	1.00E+00	4.78E-06	1.00E+00	1.00E+00
REAC	TCA cycle and respiratory electron transport	1.00E+00	1.00E+00	1.00E+00	1.62E-12	1.00E+00	4.01E-01	7.16E-03	4.16E-13	1.00E+00	1.04E-01	1.00E+00	1.00E+00
