"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Atf5" 0 0.0634317589555821 0.998 0.986 0 "3" "Atf5"
"Myc" 0 0.0568914115500486 1 1 0 "3" "Myc"
"Atf3" 0 0.0481872966049697 1 1 0 "3" "Atf3"
"Elf2" 0 0.0466929901793974 1 1 0 "3" "Elf2"
"Nelfe" 0 0.0459606154011572 1 1 0 "3" "Nelfe"
"Fos" 0 0.0454766100988687 1 1 0 "3" "Fos"
"Rela" 0 0.0443278792227564 1 1 0 "3" "Rela"
"Egr1" 0 0.0440186306758865 1 1 0 "3" "Egr1"
"Elf1" 0 0.0439711053856403 1 1 0 "3" "Elf1"
"Ets2" 0 0.0436093732895173 1 1 0 "3" "Ets2"
"Max" 0 0.0429420266767959 1 1 0 "3" "Max"
"Nr3c1" 0 0.0415154830161775 1 1 0 "3" "Nr3c1"
"Irf1" 0 0.0412719001783385 1 1 0 "3" "Irf1"
"Smarca4" 0 0.0408974571804681 1 1 0 "3" "Smarca4"
"Nr1i3" 0 0.0395668542324921 1 1 0 "3" "Nr1i3"
"Atf6" 0 0.0312076822268299 1 1 0 "3" "Atf6"
"Kdm5b" 0 0.0299071209656068 1 1 0 "3" "Kdm5b"
"Irf3" 0 0.0272772528219333 1 1 0 "3" "Irf3"
"Atf6b" 0 0.0258649052736855 1 1 0 "3" "Atf6b"
"Polr3a" 0 0.0256664631488362 1 1 0 "3" "Polr3a"
"Cux1" 0 0.0177748672467453 1 1 0 "3" "Cux1"
"Bdp1" 8.54020681216319e-299 0.0152105877207983 1 1 1.21270936732717e-296 "3" "Bdp1"
"Usf2" 1.08138108137519e-296 0.0325675290793096 1 1 1.53556113555278e-294 "3" "Usf2"
"Taf7" 2.63659267732463e-294 0.0309227741011989 1 1 3.74396160180097e-292 "3" "Taf7"
"Zfp110" 2.67622223443311e-294 0.0241248085178717 1 1 3.80023557289501e-292 "3" "Zfp110"
"Tbp" 5.24946031766614e-289 0.0127582180099714 1 1 7.45423365108591e-287 "3" "Tbp"
"Creb3" 2.24169194363831e-286 0.0258292142367186 1 1 3.18320255996639e-284 "3" "Creb3"
"Maz" 2.96312391116841e-284 0.0229303441713606 1 1 4.20763595385914e-282 "3" "Maz"
"Atf1" 9.36870416946606e-284 0.0338997688459918 1 1 1.33035599206418e-281 "3" "Atf1"
"Nrf1" 1.97395756205428e-282 0.0211709679142487 1 1 2.80301973811708e-280 "3" "Nrf1"
"Rest" 2.46168296030091e-274 0.0206557143199082 1 1 3.49558980362729e-272 "3" "Rest"
"Brf1" 7.47028251589303e-266 0.0235374793588498 1 1 1.06078011725681e-263 "3" "Brf1"
"Elf3" 1.91346751345492e-258 0.0283743165819543 1 1 2.71712386910598e-256 "3" "Elf3"
"Srebf2" 1.03371039997103e-252 0.0290815903186193 1 1 1.46786876795886e-250 "3" "Srebf2"
"Thap11" 6.49349344031759e-249 0.0182044697868128 1 1 9.22076068525097e-247 "3" "Thap11"
"Jund" 4.62495967894218e-241 0.015136839498557 1 1 6.5674427440979e-239 "3" "Jund"
"E2f4" 2.92911849306399e-240 0.022508609023092 1 1 4.15934826015087e-238 "3" "E2f4"
"Bhlhe40" 1.40833009565973e-233 0.0348453567576759 1 1 1.99982873583681e-231 "3" "Bhlhe40"
"Relb" 2.70276470511311e-232 0.0119517066943442 1 1 3.83792588126061e-230 "3" "Relb"
"Sap30" 8.81146695736119e-232 0.0107291755541683 1 1 1.25122830794529e-229 "3" "Sap30"
"Stat3" 9.18997638887317e-230 0.0283885372558877 0.971 0.894 1.30497664721999e-227 "3" "Stat3"
"Yy1" 1.66729383596911e-223 0.0272186204602491 1 1 2.36755724707613e-221 "3" "Yy1"
"Elk4" 9.75579875983311e-222 0.0186537311827735 1 1 1.3853234238963e-219 "3" "Elk4"
"Hnf4a" 1.64619920055975e-215 0.0160391140884061 1 1 2.33760286479484e-213 "3" "Hnf4a"
"Nr2f6" 9.27416612241189e-210 0.0105196006479329 1 0.998 1.31693158938249e-207 "3" "Nr2f6"
"Fosb" 2.64875274285833e-209 0.0231611267229489 0.999 0.989 3.76122889485883e-207 "3" "Fosb"
"Gabpa" 3.57714904889053e-209 0.0229746886814368 1 1 5.07955164942455e-207 "3" "Gabpa"
"Ubtf" 5.03419568665499e-208 0.0201373035098906 1 1 7.14855787505009e-206 "3" "Ubtf"
"Jun" 1.19453485944243e-205 0.0818385195773635 0.999 0.999 1.69623950040825e-203 "3" "Jun"
"Rad21" 1.93590512299832e-197 0.0215431470883029 1 1 2.74898527465761e-195 "3" "Rad21"
"Ddit3" 6.66968991907372e-197 0.0167471291523769 0.999 0.991 9.47095968508468e-195 "3" "Ddit3"
"Hdac6" 2.91125127754628e-194 0.00855404248826639 1 1 4.13397681411572e-192 "3" "Hdac6"
"Junb" 1.31806519513103e-191 0.0200619849800832 1 1 1.87165257708606e-189 "3" "Junb"
"Cebpz" 1.58021247146259e-189 0.0153915427536729 1 1 2.24390170947687e-187 "3" "Cebpz"
"Foxo4" 5.79796794578501e-189 0.00584079079479587 0.889 0.602 8.23311448301471e-187 "3" "Foxo4"
"Arntl" 1.4589674978363e-187 0.0147186590925983 1 1 2.07173384692755e-185 "3" "Arntl"
"Pml" 5.44891638283807e-187 0.0108359245494503 1 1 7.73746126363006e-185 "3" "Pml"
"Cebpa" 1.92791060960296e-185 0.011772033867291 0.984 0.936 2.7376330656362e-183 "3" "Cebpa"
"Srebf1" 1.30638330986746e-182 0.0238649587594815 1 1 1.85506430001179e-180 "3" "Srebf1"
"Gtf2f1" 6.63734024721389e-179 0.0250263525236275 1 1 9.42502315104373e-177 "3" "Gtf2f1"
"Nr1h3" 1.84502325371504e-178 0.00913497553975353 1 1 2.61993302027535e-176 "3" "Nr1h3"
"Cebpb" 4.1050531059462e-170 0.0363816371704985 1 1 5.82917541044361e-168 "3" "Cebpb"
"Hdac2" 4.55472499997235e-167 0.020523190945175 1 1 6.46770949996074e-165 "3" "Hdac2"
"Chd2" 1.15527015736783e-166 0.010134829307135 1 1 1.64048362346232e-164 "3" "Chd2"
"Stat1" 5.93032186689076e-165 0.0129586955808599 1 1 8.42105705098488e-163 "3" "Stat1"
"Kdm5a" 4.52961645379392e-160 0.0189601873951463 1 1 6.43205536438737e-158 "3" "Kdm5a"
"Hcfc1" 5.83608687705627e-159 0.014248641693186 1 1 8.2872433654199e-157 "3" "Hcfc1"
"Zfp143" 1.00344256607831e-155 0.0156561679958857 1 1 1.4248884438312e-153 "3" "Zfp143"
"Gabpb1" 2.15719951542543e-152 0.0186341917487744 1 1 3.06322331190411e-150 "3" "Gabpb1"
"Sin3a" 3.5230904684643e-152 0.0105837949017897 1 1 5.0027884652193e-150 "3" "Sin3a"
"Klf6" 1.97833501048335e-146 0.00976118704445934 1 1 2.80923571488636e-144 "3" "Klf6"
"Taf1" 8.17524497722528e-141 0.0126820028087917 1 1 1.16088478676599e-138 "3" "Taf1"
"Foxa3" 4.68344369343142e-137 0.0354132737631798 1 1 6.65049004467262e-135 "3" "Foxa3"
"Rcor1" 1.19418267628049e-136 0.00533924237133026 1 0.999 1.6957394003183e-134 "3" "Rcor1"
"Bclaf1" 9.88469654408011e-136 0.0213416764470857 1 1 1.40362690925938e-133 "3" "Bclaf1"
"Nr2c2" 1.88109782771945e-132 0.00436971627255029 0.999 0.988 2.67115891536163e-130 "3" "Nr2c2"
"E2f6" 2.54472405261983e-132 0.011452484527364 1 1 3.61350815472016e-130 "3" "E2f6"
"Tfeb" 7.832540456195e-132 0.00652929113918109 1 1 1.11222074477969e-129 "3" "Tfeb"
"Mitf" 2.02865862937886e-131 0.00400227673994748 0.986 0.974 2.88069525371798e-129 "3" "Mitf"
"Trp53" 2.64838864849762e-124 0.00511781301830156 1 1 3.76071188086663e-122 "3" "Trp53"
"Rbbp5" 2.05485469037368e-123 0.0085065799707545 1 1 2.91789366033062e-121 "3" "Rbbp5"
"Erf" 1.84691978307688e-117 0.00751939246846826 1 1 2.62262609196917e-115 "3" "Erf"
"Foxp1" 1.86323003688149e-115 0.00149177253553363 0.908 0.723 2.64578665237172e-113 "3" "Foxp1"
"Etv6" 7.72803690435223e-114 0.0105915162298123 1 1 1.09738124041802e-111 "3" "Etv6"
"Xrcc4" 1.09846163082488e-109 0.0154254037722924 1 1 1.55981551577134e-107 "3" "Xrcc4"
"Ctcf" 6.71122562653149e-108 0.0114560806070879 1 1 9.52994038967472e-106 "3" "Ctcf"
"Etv3" 1.68648255774497e-105 0.00520962020544226 1 1 2.39480523199786e-103 "3" "Etv3"
"Srf" 7.44503718572170e-105 0.00476258078638918 0.999 1 1.05719528037248e-102 "3" "Srf"
"Brf2" 5.59539704079663e-104 0.0114290609535778 1 1 7.94546379793121e-102 "3" "Brf2"
"Polr3g" 4.59287163941241e-100 0.00419604753375215 1 0.999 6.52187772796563e-98 "3" "Polr3g"
"Zfp384" 6.08062098644655e-97 0.00427404409479224 1 0.999 8.6344818007541e-95 "3" "Zfp384"
"Creb1" 6.14216289766276e-97 0.00794996749911215 1 1 8.72187131468112e-95 "3" "Creb1"
"Cebpd" 2.63207868229414e-95 0.00880465722907317 1 1 3.73755172885768e-93 "3" "Cebpd"
"Zbtb33" 1.94152773528359e-93 0.00710157033834637 1 1 2.75696938410269e-91 "3" "Zbtb33"
"Zfp768" 4.60807278500272e-92 0.00325184441996148 1 1 6.54346335470386e-90 "3" "Zfp768"
"Supt20" 3.94331582832286e-90 0.00631152096398772 1 1 5.59950847621846e-88 "3" "Supt20"
"Ezh2" 8.1963850297533e-90 0.00613717121780751 1 1 1.16388667422497e-87 "3" "Ezh2"
"Bach1" 4.5603380944669e-88 0.00264984104913287 0.989 0.975 6.47568009414299e-86 "3" "Bach1"
"Zmiz1" 6.35052918829135e-88 0.0115043081556183 1 1 9.01775144737372e-86 "3" "Zmiz1"
"Thap1" 3.63198470678111e-75 0.0130890856090873 1 1 5.15741828362917e-73 "3" "Thap1"
"Tbl1xr1" 2.97409197317217e-73 0.00412016039010407 1 1 4.22321060190448e-71 "3" "Tbl1xr1"
"Nfe2l2" 2.70394357130259e-65 0.0106144359517691 1 1 3.83959987124968e-63 "3" "Nfe2l2"
