source	term_name	adjusted_p_value	intersection_size	Module	Print
GO:BP	regulation of protein stability	1	6	1	N
GO:BP	DNA repair	1	1	1	N
GO:BP	autophagy	1	6	1	N
GO:BP	apoptotic signaling pathway	0.323661494	24	1	N
GO:BP	mitotic cell cycle process	1	13	1	N
GO:BP	regulation of RNA splicing	1	2	1	N
GO:BP	DNA replication	1	-1	1	N
GO:BP	cell division	1	10	1	N
GO:BP	cell cycle checkpoint signaling	1	4	1	N
GO:BP	energy derivation by oxidation of organic compounds	1	5	1	N
GO:BP	negative regulation of cell death	0.000487568	45	1	Y
GO:BP	cell migration	8.67E-06	59	1	Y
GO:BP	Wnt signaling pathway	1	11	1	N
GO:BP	response to growth factor	1	22	1	N
GO:BP	regulation of cell morphogenesis	1	10	1	N
GO:BP	canonical Wnt signaling pathway	1	10	1	N
GO:BP	epithelial cell differentiation	1	19	1	N
GO:BP	regulation of cell population proliferation	2.61E-06	67	1	Y
GO:BP	oxidative phosphorylation	1	1	1	N
GO:BP	ATP metabolic process	1	6	1	N
GO:BP	detoxification	1	3	1	N
GO:BP	reactive oxygen species metabolic process	1	8	1	N
GO:BP	cell cycle G2/M phase transition	1	3	1	N
GO:BP	positive regulation of angiogenesis	0.000701718	15	1	Y
GO:BP	cell-cell adhesion	0.025074303	33	1	Y
GO:BP	regulation of protein stability	1	24	2	N
GO:BP	DNA repair	1	37	2	N
GO:BP	autophagy	1	31	2	N
GO:BP	apoptotic signaling pathway	1	57	2	N
GO:BP	mitotic cell cycle process	1	37	2	N
GO:BP	regulation of RNA splicing	1	7	2	N
GO:BP	DNA replication	1	23	2	N
GO:BP	cell division	1	37	2	N
GO:BP	cell cycle checkpoint signaling	1	5	2	N
GO:BP	energy derivation by oxidation of organic compounds	6.85E-17	73	2	Y
GO:BP	negative regulation of cell death	1	88	2	N
GO:BP	cell migration	1	98	2	N
GO:BP	Wnt signaling pathway	1	20	2	N
GO:BP	response to growth factor	1	45	2	N
GO:BP	regulation of cell morphogenesis	1	21	2	N
GO:BP	canonical Wnt signaling pathway	1	9	2	N
