"","Combined_Module"
"Rb1cc1","1"
"Pcmtd1","1"
"Vcpip1","1"
"1700034P13Rik","1"
"Tcf24","1"
"Cspp1","1"
"Arfgef1","1"
"Ncoa2","1"
"Tram2","1"
"Ptp4a1","1"
"Dst","1"
"Fam168b","1"
"Hs6st1","1"
"Uggt1","1"
"Arid5a","1"
"Kansl3","1"
"Cnnm3","1"
"Tmem131","1"
"Inpp4a","1"
"Eif5b","1"
"Rev1","1"
"Tbc1d8","1"
"Il1r1","1"
"Tgfbrap1","1"
"Ercc5","1"
"Nabp1","1"
"Nab1","1"
"Satb2","1"
"Aox3","1"
"Clk1","1"
"Fam126b","1"
"Cflar","1"
"Trak2","1"
"Mpp4","1"
"Als2","1"
"Bmpr2","1"
"Abi2","1"
"Raph1","1"
"Ino80d","1"
"Gm20342","1"
"Klf7","1"
"Fzd5","1"
"Pikfyve","1"
"Fn1","1"
"Smarcal1","1"
"Tns1","1"
"Slc11a1","1"
"Ctdsp1","1"
"Ttll4","1"
"Cyp27a1","1"
"Abcb6","1"
"Atg9a","1"
"Stk11ip","1"
"Cul3","1"
"Irs1","1"
"Agfg1","1"
"Trip12","1"
"Cab39","1"
"Gigyf2","1"
"Ngef","1"
"Atg16l1","1"
"Dgkd","1"
"Usp40","1"
"Hjurp","1"
"Sh3bp4","1"
"Iqca","1"
"Hdac4","1"
"Farp2","1"
"D2hgdh","1"
"Ppip5k2","1"
"Pign","1"
"2310035C23Rik","1"
"Zcchc2","1"
"Phlpp1","1"
"Clasp1","1"
"Tfcp2l1","1"
"Epb41l5","1"
"Mgat5","1"
"Ccnt2","1"
"R3hdm1","1"
"Gm29427","1"
"Pfkfb2","1"
"Yod1","1"
"AA986860","1"
"Mapkapk2","1"
"Ikbke","1"
"Srgap2","1"
"Nucks1","1"
"Slc45a3","1"
"Elk4","1"
"Klhdc8a","1"
"Rbbp5","1"
"Pik3c2b","1"
"Ppp1r15b","1"
"Plekha6","1"
"Sox13","1"
"Gm38394","1"
"Btg2","1"
"Klhl12","1"
"Kdm5b","1"
"Ppp1r12b","1"
"Arl8a","1"
"Elf3","1"
"Ipo9","1"
"Kif21b","1"
"5730559C18Rik","1"
"Camsap2","1"
"Zfp281","1"
"Nr5a2","1"
"Dennd1b","1"
"Zbtb41","1"
"Cdc73","1"
"Trove2","1"
"Rgs2","1"
"2810414N06Rik","1"
"Rgl1","1"
"Smg7","1"
"Lamc1","1"
"Rgs16","1"
"Glul","1"
"Ier5","1"
"Xpr1","1"
"Cep350","1"
"Gm10031","1"
"Fam20b","1"
"Rasal2","1"
"Sec16b","1"
"Cop1","1"
