"Cluster"	"Gene"	"Log2FC"
"1"	NA	NA	NA
"2"	"0"	"Sqstm1"	0.60735489279274
"3"	"0"	"Gpx1"	1.73770379913103
"4"	"0"	"Gstm1"	1.35660460716305
"5"	"0"	"Gstp1"	2.49287256525582
"6"	"0"	"Gsta3"	1.40002033196755
"7"	"0"	"Nqo1"	0.261642673057399
"8"	"0"	"Idh1"	0.697695758136151
"9"	"0"	"Ftl1"	2.22929847126892
"10"	"0"	"Gclm"	0.654587083480765
"11"	"1"	"Sqstm1"	0.377393057624211
"12"	"1"	"Gpx1"	1.56062906507522
"13"	"1"	"Gstm1"	0.961429818600997
"14"	"1"	"Gstp1"	2.25011219145768
"15"	"1"	"Gsta3"	1.39289004222854
"16"	"1"	"Nqo1"	0.250839402313085
"17"	"1"	"Idh1"	0.560887062629138
"18"	"1"	"Ftl1"	2.00594128138457
"19"	"1"	"Gclm"	0.51161396035025
"20"	"2"	"Sqstm1"	0.71464560352935
"21"	"2"	"Gpx1"	2.02223030910752
"22"	"2"	"Gstm1"	1.89533675925915
"23"	"2"	"Gstp1"	2.65034502991029
"24"	"2"	"Gsta3"	1.79163742574118
"25"	"2"	"Nqo1"	1.0261342766498
"26"	"2"	"Idh1"	0.841589856212186
"27"	"2"	"Ftl1"	2.52756693494964
"28"	"2"	"Gclm"	0.831390820670679
"29"	"3"	"Sqstm1"	1.13792226697364
"30"	"3"	"Gpx1"	1.17847526340494
"31"	"3"	"Gstm1"	1.40230926898859
"32"	"3"	"Gstp1"	2.38167839357207
"33"	"3"	"Gsta3"	1.45232159715594
"34"	"3"	"Nqo1"	0.399838648004914
"35"	"3"	"Idh1"	0.588862929176838
"36"	"3"	"Ftl1"	2.12405413129808
"37"	"3"	"Gclm"	0.661581611717049
"38"	"3"	"Sqstm1"	1.13792226697364
"39"	"3"	"Gpx1"	1.17847526340494
"40"	"3"	"Gstm1"	1.40230926898859
"41"	"3"	"Gstp1"	2.38167839357207
"42"	"3"	"Gsta3"	1.45232159715594
"43"	"3"	"Nqo1"	0.399838648004914
"44"	"3"	"Idh1"	0.588862929176838
"45"	"3"	"Ftl1"	2.12405413129808
"46"	"3"	"Gclm"	0.661581611717049
"47"	"0"	"Sqstm1"	0.60735489279274
"48"	"0"	"Gpx1"	1.73770379913103
"49"	"0"	"Gstm1"	1.35660460716305
"50"	"0"	"Gstp1"	2.49287256525582
"51"	"0"	"Gsta3"	1.40002033196755
"52"	"0"	"Nqo1"	0.261642673057399
"53"	"0"	"Idh1"	0.697695758136151
"54"	"0"	"Ftl1"	2.22929847126892
"55"	"0"	"Gclm"	0.654587083480765
"56"	"1"	"Sqstm1"	0.377393057624211
"57"	"1"	"Gpx1"	1.56062906507522
"58"	"1"	"Gstm1"	0.961429818600997
"59"	"1"	"Gstp1"	2.25011219145768
"60"	"1"	"Gsta3"	1.39289004222854
"61"	"1"	"Nqo1"	0.250839402313085
"62"	"1"	"Idh1"	0.560887062629138
"63"	"1"	"Ftl1"	2.00594128138457
"64"	"1"	"Gclm"	0.51161396035025
"65"	"2"	"Sqstm1"	0.71464560352935
"66"	"2"	"Gpx1"	2.02223030910752
"67"	"2"	"Gstm1"	1.89533675925915
"68"	"2"	"Gstp1"	2.65034502991029
"69"	"2"	"Gsta3"	1.79163742574118
"70"	"2"	"Nqo1"	1.0261342766498
"71"	"2"	"Idh1"	0.841589856212186
"72"	"2"	"Ftl1"	2.52756693494964
"73"	"2"	"Gclm"	0.831390820670679
"74"	"3"	"Sqstm1"	1.13792226697364
"75"	"3"	"Gpx1"	1.17847526340494
"76"	"3"	"Gstm1"	1.40230926898859
"77"	"3"	"Gstp1"	2.38167839357207
"78"	"3"	"Gsta3"	1.45232159715594
"79"	"3"	"Nqo1"	0.399838648004914
"80"	"3"	"Idh1"	0.588862929176838
"81"	"3"	"Ftl1"	2.12405413129808
"82"	"3"	"Gclm"	0.661581611717049
