ID	human_organism	human_gene	mouse_organism	mouse_gene
3	human	ACADM	"mouse, laboratory"	Acadm
5	human	ACADVL	"mouse, laboratory"	Acadvl
6	human	ACAT1	"mouse, laboratory"	Acat1
7	human	ACVR1	"mouse, laboratory"	Acvr1
9	human	SGCA	"mouse, laboratory"	Sgca
12	human	ADSL	"mouse, laboratory"	Adsl
13	human	AGA	"mouse, laboratory"	Aga
14	human	AGT	"mouse, laboratory"	Agt
16	human	ALAD	"mouse, laboratory"	Alad
17	human	ALAS2	"mouse, laboratory"	Alas2
20	human	AMPD1	"mouse, laboratory"	Ampd1
26	human	APOH	"mouse, laboratory"	Apoh
27	human	FAS	"mouse, laboratory"	Fas
28	human	AR	"mouse, laboratory"	Ar
29	human	ARG1	"mouse, laboratory"	Arg1
32	human	ASL	"mouse, laboratory"	Asl
33	human	ASPA	"mouse, laboratory"	Aspa
35	human	ATP7A	"mouse, laboratory"	Atp7a
39	human	BCKDHB	"mouse, laboratory"	Bckdhb
41	human	BRCA2	"mouse, laboratory"	Brca2
44	human	SERPING1	"mouse, laboratory"	Serping1
45	human	C2	"mouse, laboratory"	C2
47	human	C6	"mouse, laboratory"	C6
48	human	C8B	"mouse, laboratory"	C8b
52	human	CAPN3	"mouse, laboratory"	Capn3
55	human	CD3G	"mouse, laboratory"	Cd3g
56	human	CD40LG	"mouse, laboratory"	Cd40lg
59	human	CHRNA1	"mouse, laboratory"	Chrna1
60	human	CHRNE	"mouse, laboratory"	Chrne
61	human	LYST	"mouse, laboratory"	Lyst
62	human	ERCC8	"mouse, laboratory"	Ercc8
63	human	CLCN1	"mouse, laboratory"	Clcn1
65	human	CLCNKB	"mouse, laboratory"	Clcnka
69	human	COL1A2	"mouse, laboratory"	Col1a2
73	human	COL7A1	"mouse, laboratory"	Col7a1
74	human	COMP	"mouse, laboratory"	Comp
75	human	CP	"mouse, laboratory"	Cp
76	human	CPOX	"mouse, laboratory"	Cpox
77	human	CPT2	"mouse, laboratory"	Cpt2
78	human	CST3	"mouse, laboratory"	Cst3
79	human	CSTB	"mouse, laboratory"	Cstb
80	human	CYBA	"mouse, laboratory"	Cyba
83	human	DDB2	"mouse, laboratory"	Ddb2
84	human	DLD	"mouse, laboratory"	Dld
85	human	DPYD	"mouse, laboratory"	Dpyd
88	human	EDN3	"mouse, laboratory"	Edn3
89	human	EDNRB	"mouse, laboratory"	Ednrb
91	human	EMD	"mouse, laboratory"	Emd
92	human	ENG	"mouse, laboratory"	Eng
93	human	EPB42	"mouse, laboratory"	Epb42
94	human	EPHX1	"mouse, laboratory"	Ephx1
95	human	EPOR	"mouse, laboratory"	Epor
96	human	ERCC3	"mouse, laboratory"	Ercc3
100	human	ETFA	"mouse, laboratory"	Etfa
104	human	F5	"mouse, laboratory"	F5
106	human	F9	"mouse, laboratory"	F9
107	human	FABP2	"mouse, laboratory"	Fabp2
108	human	FANCA	"mouse, laboratory"	Fanca
109	human	FANCC	"mouse, laboratory"	Fancc
110	human	FAH	"mouse, laboratory"	Fah
112	human	MS4A2	"mouse, laboratory"	Ms4a2
113	human	FECH	"mouse, laboratory"	Fech
115	human	FH	"mouse, laboratory"	Fh1
117	human	FSHR	"mouse, laboratory"	Fshr
119	human	FUCA2	"mouse, laboratory"	Fuca2
120	human	FUT1	"mouse, laboratory"	Fut1
124	human	GALC	"mouse, laboratory"	Galc
